City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Entre Rios,BR,72.43,light rain,-11.9419,-38.0844,Pousada Porteira
98,Cozumel,MX,73.47,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
102,Georgetown,MY,81.9,mist,5.4112,100.3354,Cititel Penang
106,East London,ZA,71.56,broken clouds,-33.0153,27.9116,Tu Casa
109,Cidreira,BR,72.39,scattered clouds,-30.1811,-50.2056,Hotel Castelo
119,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
120,Amahai,ID,78.51,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
125,Dubbo,AU,77.13,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
127,Sao Filipe,CV,71.1,overcast clouds,14.8961,-24.4956,Hotel Xaguate
128,Butaritari,KI,82.38,light rain,3.0707,172.7902,Isles Sunset Lodge
136,Alta Floresta,BR,70.29,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
139,Wagga Wagga,AU,79.84,clear sky,-35.1167,147.3667,The Club Motel and Apartments
140,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
141,Eyl,SO,74.35,broken clouds,7.9803,49.8164,Amiin Hotel
145,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
149,Labuhan,ID,77.94,overcast clouds,-6.8844,112.2051,DoubleFAG
150,Bengkulu,ID,75.76,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
156,Vallenar,CL,76.53,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
157,Maydolong,PH,75.83,scattered clouds,11.4992,125.5011,HACIENDA GUITORIA
158,Cockburn Town,TC,78.76,few clouds,21.4612,-71.1419,Osprey Beach Hotel
161,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
171,Ahipara,NZ,72.27,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
172,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
173,Atar,MR,74.95,overcast clouds,20.5169,-13.0499,Oumou Elghoura
174,Gisborne,NZ,76.95,clear sky,-38.6533,178.0042,ASURE Alfresco Motor Lodge
179,Cabo San Lucas,MX,79.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
180,Faanui,PF,80.22,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
183,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
186,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
190,Cantanhede,BR,72.43,light rain,-3.6333,-44.3767,HOTEL FE EM DEUS
191,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
199,Wollongong,AU,80.74,overcast clouds,-34.4333,150.8833,Flinders Motel
200,Broken Hill,AU,78.49,few clouds,-31.95,141.4333,Royal Exchange Hotel
206,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Fengshui Residence
212,Katherine,AU,79.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
215,Kampot,KH,78.85,broken clouds,10.6167,104.1833,Two Moons Hotel
216,Mana,GF,76.84,overcast clouds,5.6592,-53.7767,LE SAMANA
219,Coxim,BR,75.78,light rain,-18.5067,-54.76,Hotel Avenida
235,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
237,Matara,LK,77.18,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
240,Okitipupa,NG,73.54,broken clouds,6.5047,4.7839,Coastal Hotel & Suites
241,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
252,Hervey Bay,AU,83.03,broken clouds,-25.2986,152.8535,Shelly Bay Resort
253,Mitsamiouli,KM,80.6,broken clouds,-11.3847,43.2844,Foyer ADM
256,Kailua,US,80.65,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
258,Sola,VU,83.1,overcast clouds,-13.8833,167.55,Leumerus Bungalows
266,Namibe,AO,72.03,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
268,Blackwater,AU,78.28,clear sky,-23.5833,148.8833,Blackwater Motor Inn
272,Kapit,MY,72.81,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
274,Sorong,ID,80.35,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
275,Itarema,BR,79.05,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
278,Iquique,CL,73.44,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
280,Banda Aceh,ID,79.79,broken clouds,5.5577,95.3222,Sulthan Hotel International
281,Monrovia,LR,78.57,broken clouds,6.3005,-10.7969,Sunset Inn
282,Kavieng,PG,83.1,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
291,Tubmanburg,LR,75.63,broken clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
294,Todos Santos,MX,79.02,clear sky,23.45,-110.2167,Hotel California Todos Santos
295,Inongo,CD,76.12,overcast clouds,-1.95,18.2667,Hotel Du Lac
298,Omboue,GA,78.51,overcast clouds,-1.5746,9.2618,Hotel Olako
305,Mogadishu,SO,77.07,few clouds,2.0371,45.3438,Hotel Juba
311,Lompoc,US,72.09,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
312,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
313,Rawson,AR,81.68,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
317,Port Blair,IN,75.79,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
318,Namatanai,PG,81.66,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
320,Bourail,NC,82.17,broken clouds,-21.5667,165.4833,Motel Allamanda
321,Alyangula,AU,82.45,heavy intensity rain,-13.8483,136.4192,Groote Eylandt Lodge
333,Buin,CL,80.06,clear sky,-33.7333,-70.75,Paihuen
337,Auki,SB,81.99,overcast clouds,-8.7676,160.7034,Auki Motel
338,Rio Grande,BR,73.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
339,Ugoofaaru,MV,82.06,broken clouds,5.6667,73.0,Ungoofaaru Inn
341,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
342,La Palma,US,71.02,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
344,Marovoay,MG,78.94,light rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
348,Benguela,AO,77.58,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
354,Richards Bay,ZA,71.85,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
358,Mancio Lima,BR,84.27,moderate rain,-7.6142,-72.8958,Motel Asas Do Desejo
360,Inhambane,MZ,76.15,overcast clouds,-23.865,35.3833,Oceano
362,San Cristobal,VE,77.18,few clouds,7.7669,-72.225,Posada Villaven C.A.
365,Ballitoville,ZA,71.24,broken clouds,-29.539,31.2144,Hampshire Hotel-Ballito
366,Kribi,CM,80.94,overcast clouds,2.95,9.9167,La Grace Hôtel
370,Kwinana,AU,76.8,few clouds,-32.25,115.7667,Rockingham Apartments
372,Bowen,AU,78.82,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
375,Jiwani,PK,71.87,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
376,Chuy,UY,71.42,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
377,Vila Do Maio,CV,70.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
380,Itaituba,BR,71.71,moderate rain,-4.2761,-55.9836,Hotel Campos
387,Mar Del Plata,AR,82.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
389,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
391,Attingal,IN,76.68,broken clouds,8.6833,76.8333,Government Guest House
398,Meulaboh,ID,77.02,broken clouds,4.1363,96.1285,Kost Pria
400,Panubigan,PH,77.68,overcast clouds,7.4281,123.3466,Parish Beach
402,Bubaque,GW,78.44,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
406,Eravur,LK,76.03,few clouds,7.7733,81.6095,Farhan KING House
409,Cabo Rojo,PR,80.91,few clouds,18.0866,-67.1457,Hotel Perichi's
