City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Likasi,CD,-10.9814,26.7333,63.3,97,100,4.07,light rain
134,Iqaluit,CA,63.7506,-68.5145,-9.67,59,75,5.75,light snow
135,Tarnogskiy Gorodok,RU,60.4997,43.5761,9.99,98,89,4.59,overcast clouds
136,Alta Floresta,BR,-9.8756,-56.0861,70.29,98,100,2.93,overcast clouds
137,Kushiro,JP,42.975,144.3747,9.55,66,20,2.3,few clouds
138,Izberbash,RU,42.5696,47.8645,26.65,70,21,4.36,few clouds
139,Wagga Wagga,AU,-35.1167,147.3667,79.84,68,1,10.04,clear sky
140,Kahului,US,20.8947,-156.47,82.42,53,40,8.05,scattered clouds
141,Eyl,SO,7.9803,49.8164,74.35,68,80,20.02,broken clouds
142,Serik,TR,36.9169,31.0989,46.74,79,100,9.57,light rain
143,Ribeira Grande,PT,38.5167,-28.7,59.47,71,28,7.76,scattered clouds
144,Nemuro,JP,43.3236,145.575,16.95,72,49,17.36,scattered clouds
145,Porto Novo,BJ,6.4965,2.6036,82.22,70,33,2.62,scattered clouds
146,Kruisfontein,ZA,-34.0033,24.7314,60.89,92,0,3.09,clear sky
147,Clyde River,CA,70.4692,-68.5914,-7.37,59,100,17.27,light snow
148,Minot,US,48.2325,-101.2963,30.11,69,0,12.66,clear sky
149,Labuhan,ID,-6.8844,112.2051,77.94,87,100,6.89,overcast clouds
150,Bengkulu,ID,-3.8004,102.2655,75.76,91,100,4.03,moderate rain
151,Langenburg,DE,49.2544,9.8458,44.33,90,100,17.27,overcast clouds
152,Rorvik,NO,64.8621,11.2373,37.54,90,100,30.49,overcast clouds
153,Kodiak,US,57.79,-152.4072,35.11,55,0,25.32,clear sky
154,Frontera,MX,26.9333,-101.45,60.33,58,0,6.91,clear sky
155,Galway,IE,53.2719,-9.0489,39.15,71,84,4.16,broken clouds
156,Vallenar,CL,-28.5708,-70.7581,76.53,42,0,7.92,clear sky
157,Maydolong,PH,11.4992,125.5011,75.83,93,38,4.12,scattered clouds
158,Cockburn Town,TC,21.4612,-71.1419,78.76,73,20,5.75,few clouds
159,Punta Alta,AR,-38.8759,-62.0736,91.44,29,1,13.42,clear sky
160,Latnaya,RU,51.6586,38.9011,30.09,94,100,4.99,overcast clouds
161,Pisco,PE,-13.7,-76.2167,71.65,73,0,14.97,clear sky
162,Talnakh,RU,69.4865,88.3972,-3.8,96,100,9.31,overcast clouds
163,Lagoa,PT,39.05,-27.9833,58.55,72,64,13.96,broken clouds
164,Kuryk,KZ,43.2,51.65,40.39,82,100,18.12,overcast clouds
165,Ovsyanka,RU,55.9575,92.5519,-9.78,99,65,4.47,broken clouds
166,Cherskiy,RU,68.75,161.3,-27.76,100,57,2.46,broken clouds
167,Kaspiysk,RU,42.8816,47.6392,26.78,86,43,6.71,scattered clouds
168,Vardo,NO,70.3705,31.1107,21.65,80,92,2.24,overcast clouds
169,Bratsk,RU,56.1325,101.6142,-7.11,100,86,2.04,overcast clouds
170,Sarai,RU,53.7458,41.0213,26.42,95,100,6.35,overcast clouds
171,Ahipara,NZ,-35.1667,173.1667,72.27,55,58,7.72,broken clouds
172,Ambon,ID,-3.6954,128.1814,80.74,78,40,4.61,scattered clouds
173,Atar,MR,20.5169,-13.0499,74.95,20,100,4.52,overcast clouds
174,Gisborne,NZ,-38.6533,178.0042,76.95,59,0,3.18,clear sky
175,Khed,IN,17.7167,73.3833,65.57,43,8,3.06,clear sky
176,La Ciotat,FR,43.1748,5.6045,44.69,58,0,12.1,clear sky
177,Minudasht,IR,37.2289,55.3747,41.67,66,0,3.62,clear sky
178,Asau,RO,46.4333,26.4,27.52,86,85,8.39,overcast clouds
179,Cabo San Lucas,MX,22.8909,-109.9124,79.52,56,0,5.01,clear sky
180,Faanui,PF,-16.4833,-151.75,80.22,73,18,9.66,few clouds
181,Saint-Francois,FR,46.4154,3.9054,38.68,98,100,5.75,mist
182,Araouane,ML,18.9048,-3.5265,70.59,13,84,12.28,broken clouds
183,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,40,6.91,scattered clouds
184,Preeceville,CA,51.95,-102.6677,11.64,93,100,2.95,overcast clouds
185,Tuatapere,NZ,-46.1333,167.6833,57.45,95,100,4.74,overcast clouds
186,Avarua,CK,-21.2078,-159.775,82.45,78,64,13.8,broken clouds
187,Dunedin,NZ,-45.8742,170.5036,59.31,81,100,3.42,overcast clouds
188,Dunmore Town,BS,25.5,-76.65,61.54,63,79,26.49,broken clouds
189,College,US,64.8569,-147.8028,-9.45,73,40,0.0,scattered clouds
190,Cantanhede,BR,-3.6333,-44.3767,72.43,97,100,2.75,light rain
191,Cam Ranh,VN,11.9214,109.1591,75.16,78,40,5.75,scattered clouds
192,Marawi,PH,7.9986,124.2928,65.64,95,90,1.19,overcast clouds
193,Nagorsk,RU,59.3172,50.8078,6.76,99,100,3.87,overcast clouds
194,Killybegs,IE,54.6333,-8.45,38.44,66,86,7.78,overcast clouds
195,Skibbereen,IE,51.55,-9.2667,44.4,83,66,4.76,broken clouds
196,Linxia,CN,35.6003,103.2064,8.13,86,58,2.84,broken clouds
197,Dikson,RU,73.5069,80.5464,4.5,94,99,21.81,overcast clouds
198,Fairbanks,US,64.8378,-147.7164,-9.44,73,0,0.0,clear sky
199,Wollongong,AU,-34.4333,150.8833,80.74,78,99,4.34,overcast clouds
200,Broken Hill,AU,-31.95,141.4333,78.49,66,19,12.26,few clouds
201,Alfena,PT,41.2367,-8.5245,54.07,38,0,8.01,clear sky
202,Geraldton,AU,-28.7667,114.6,68.41,88,0,3.44,clear sky
203,Shanghai,CN,31.2222,121.4581,37.27,72,100,1.99,light rain
204,Biograd Na Moru,HR,43.9433,15.4519,39.9,70,53,4.45,broken clouds
205,Luderitz,NA,-26.6481,15.1594,67.55,79,80,9.51,broken clouds
206,Port-Gentil,GA,-0.7193,8.7815,78.76,94,20,4.61,few clouds
207,Riyadh,SA,24.6877,46.7219,51.94,39,0,10.2,clear sky
208,Antofagasta,CL,-23.65,-70.4,67.28,73,17,7.85,few clouds
209,Kiruna,SE,67.8557,20.2251,13.12,85,100,3.44,overcast clouds
210,Tasiilaq,GL,65.6145,-37.6368,14.16,74,95,6.96,overcast clouds
211,Lata,PT,40.1629,-8.3327,49.05,52,0,5.68,clear sky
212,Katherine,AU,-14.4667,132.2667,79.12,89,98,9.22,overcast clouds
213,Nanortalik,GL,60.1432,-45.2371,20.71,64,100,17.83,light snow
214,Rio Gallegos,AR,-51.6226,-69.2181,46.45,93,100,12.66,moderate rain
215,Kampot,KH,10.6167,104.1833,78.85,88,59,3.74,broken clouds
216,Mana,GF,5.6592,-53.7767,76.84,83,98,8.43,overcast clouds
217,Saint George,US,37.1041,-113.5841,60.44,13,0,1.99,clear sky
218,Saldanha,ZA,-33.0117,17.9442,64.96,87,0,15.08,clear sky
219,Coxim,BR,-18.5067,-54.76,75.78,91,88,4.72,light rain
220,Mount Gambier,AU,-37.8333,140.7667,62.51,94,100,8.05,overcast clouds
221,Ha Tinh,VN,18.3333,105.9,65.05,92,100,11.03,overcast clouds
222,Half Moon Bay,US,37.4636,-122.4286,67.62,49,0,1.99,clear sky
223,Vanavara,RU,60.34,102.2797,-5.85,99,100,3.02,overcast clouds
224,Lagunas,PE,-5.2269,-75.6753,90.64,49,98,3.6,overcast clouds
225,Brekstad,NO,63.687,9.6654,39.29,87,75,25.32,light intensity shower rain
226,Zirandaro,MX,18.45,-100.9833,96.33,24,0,1.39,clear sky
227,Polignano A Mare,IT,40.9959,17.2159,47.71,47,4,21.25,clear sky
228,Englewood,US,39.6478,-104.9878,58.84,25,20,4.61,few clouds
229,Starkville,US,33.4504,-88.8184,44.8,28,0,5.46,clear sky
230,Aktas,KZ,49.7789,72.9608,21.74,93,100,11.41,overcast clouds
231,Beloha,MG,-25.1667,45.05,72.21,86,4,10.13,clear sky
232,Kurumkan,RU,54.3,110.3,-17.45,92,43,3.6,scattered clouds
233,Abapo,BO,-18.8333,-63.4667,80.13,42,86,2.44,overcast clouds
234,Pevek,RU,69.7008,170.3133,-18.87,100,83,4.18,broken clouds
235,Carnarvon,AU,-24.8667,113.6333,77.07,88,79,10.36,broken clouds
236,Kamenka,RU,51.3223,42.7678,31.75,99,100,6.35,light snow
237,Matara,LK,5.9485,80.5353,77.18,86,92,5.75,overcast clouds
238,Solenzo,BF,12.1833,-4.0833,78.37,14,10,7.0,clear sky
239,Ojinaga,MX,29.5667,-104.4167,64.58,38,0,0.0,clear sky
240,Okitipupa,NG,6.5047,4.7839,73.54,50,51,1.72,broken clouds
241,Bitung,ID,1.4451,125.1824,76.05,84,100,6.62,overcast clouds
242,Korla,CN,41.7597,86.1469,24.03,51,100,7.43,overcast clouds
243,Mitchell,US,43.7094,-98.0298,47.1,38,0,8.01,clear sky
244,Port Hawkesbury,CA,45.6169,-61.3485,48.18,100,100,11.5,mist
245,Shakhtinsk,KZ,49.71,72.5872,22.53,93,100,12.19,overcast clouds
246,Evensk,RU,61.95,159.2333,16.32,79,100,11.12,overcast clouds
247,Goderich,CA,43.7501,-81.7165,15.91,73,92,5.75,overcast clouds
248,La Crosse,US,43.8014,-91.2396,28.31,60,0,5.99,clear sky
249,Hasaki,JP,35.7333,140.8333,34.2,57,74,20.11,broken clouds
250,Nara,JP,34.6851,135.8049,42.08,53,34,4.12,scattered clouds
251,Hovd,MN,48.0056,91.6419,-13.47,73,14,2.28,few clouds
252,Hervey Bay,AU,-25.2986,152.8535,83.03,82,65,11.01,broken clouds
253,Mitsamiouli,KM,-11.3847,43.2844,80.6,74,70,4.18,broken clouds
254,Arlit,NE,18.7369,7.3853,62.83,15,1,6.4,clear sky
255,Chumikan,RU,54.7183,135.315,-1.32,88,100,21.25,overcast clouds
256,Kailua,US,21.4022,-157.7394,80.65,63,0,10.36,clear sky
257,Nome,US,64.5011,-165.4064,2.1,64,0,0.0,clear sky
258,Sola,VU,-13.8833,167.55,83.1,77,99,21.77,overcast clouds
259,Yumen,CN,40.2833,97.2,13.03,64,0,5.84,clear sky
260,Svetlogorsk,BY,52.6333,29.7333,23.72,90,98,13.47,overcast clouds
261,San Patricio,US,28.017,-97.5169,67.01,25,43,5.77,scattered clouds
262,Lyuban,BY,52.7985,28.0048,27.93,96,100,18.16,snow
263,Torbay,CA,47.6666,-52.7314,33.58,93,100,24.16,overcast clouds
264,Kaifeng,CN,34.7911,114.3483,23.86,86,7,5.86,clear sky
265,Billings,US,45.7833,-108.5007,55.17,15,75,10.36,broken clouds
266,Namibe,AO,-15.1961,12.1522,72.03,77,100,6.67,overcast clouds
267,Saint-Augustin,CA,51.226,-58.6502,7.75,88,100,16.89,light snow
268,Blackwater,AU,-23.5833,148.8833,78.28,58,7,5.95,clear sky
269,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,75,18.41,light snow
270,Thompson,CA,55.7435,-97.8558,-0.24,71,20,8.05,few clouds
271,Ha Giang,VN,22.8333,104.9833,56.89,92,100,1.21,overcast clouds
272,Kapit,MY,2.0167,112.9333,72.81,100,100,0.38,overcast clouds
273,Jalu,LY,29.0331,21.5482,51.85,38,0,12.64,clear sky
274,Sorong,ID,-0.8833,131.25,80.35,80,100,8.19,overcast clouds
275,Itarema,BR,-2.9248,-39.9167,79.05,72,97,8.99,overcast clouds
276,Yar-Sale,RU,66.8333,70.8333,-9.96,97,90,8.63,overcast clouds
277,Erzin,TR,36.9559,36.2,41.72,75,99,6.11,overcast clouds
278,Iquique,CL,-20.2208,-70.1431,73.44,75,27,1.5,scattered clouds
279,Mnogovershinnyy,RU,53.9353,139.9242,-4.68,97,100,5.88,overcast clouds
280,Banda Aceh,ID,5.5577,95.3222,79.79,79,77,6.35,broken clouds
281,Monrovia,LR,6.3005,-10.7969,78.57,82,78,7.34,broken clouds
282,Kavieng,PG,-2.5744,150.7967,83.1,73,100,6.6,overcast clouds
283,Hay River,CA,60.8156,-115.7999,-2.22,78,100,8.05,light snow
284,Yemelyanovo,RU,56.1681,92.6767,-9.92,77,36,0.0,scattered clouds
285,Gamba,GA,-2.65,10.0,77.32,88,93,4.0,overcast clouds
286,Arman,RU,59.7,150.1667,9.46,84,100,14.07,overcast clouds
287,Olafsvik,IS,64.8945,-23.7142,38.26,67,100,29.66,overcast clouds
288,Anadyr,RU,64.75,177.4833,-14.01,75,40,0.0,fog
289,Shellbrook,CA,53.2168,-106.4011,16.83,92,34,1.92,scattered clouds
290,Nyurba,RU,63.2842,118.3319,-21.51,99,92,4.88,overcast clouds
291,Tubmanburg,LR,6.8708,-10.8172,75.63,88,60,2.35,broken clouds
292,Poyarkovo,RU,49.6,128.6833,-19.57,100,87,4.07,overcast clouds
293,Mahon,ES,39.8885,4.2658,43.36,100,0,3.44,clear sky
294,Todos Santos,MX,23.45,-110.2167,79.02,67,0,10.74,clear sky
295,Inongo,CD,-1.95,18.2667,76.12,60,100,4.18,overcast clouds
296,Codrington,AU,-38.2667,141.9667,65.1,81,85,7.99,overcast clouds
297,Samarkand,UZ,39.6542,66.9597,31.42,86,100,4.61,overcast clouds
298,Omboue,GA,-1.5746,9.2618,78.51,88,93,6.24,overcast clouds
299,Puri,IN,19.8,85.85,54.12,41,36,5.41,scattered clouds
300,Broome,US,42.2506,-75.833,11.17,65,0,1.01,clear sky
301,Ilulissat,GL,69.2167,-51.1,12.22,52,100,19.57,overcast clouds
302,Airai,TL,-8.9266,125.4092,61.2,91,100,3.31,overcast clouds
303,Paamiut,GL,61.994,-49.6678,15.28,68,100,22.64,light snow
304,Vytegra,RU,61.0064,36.4481,7.16,97,93,8.16,overcast clouds
